 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Unidade da Federação
Período:1994-2019
"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"072 BCG";105,11;105,54;107,99;113,28;110,41;114,84;105,64;113,24;102,40;110,81;103,03;107,00;113,25;104,94;105,00;101,74;99,21;102,42;109,54;105,87;102,36;101,36;99,84;108,57;104,36;106,01;111,33;105,82
"099 Hepatite B  em crianças até 30 dias";77,44;60,09;74,39;79,26;60,20;73,20;73,44;68,56;66,79;74,72;65,29;69,53;70,34;71,19;82,58;61,34;68,11;70,21;65,90;71,69;61,29;70,39;62,96;82,56;75,55;62,30;92,93;68,79
"061 Rotavírus Humano";61,92;49,50;49,73;56,47;46,96;52,98;59,49;51,27;54,52;62,18;52,56;57,73;60,37;51,26;61,23;50,68;61,82;63,97;57,28;62,77;61,70;66,16;56,87;68,16;60,39;61,42;62,94;58,57
"053 Meningococo C";60,80;50,59;55,81;61,78;45,99;60,55;54,69;47,92;52,20;60,29;53,29;51,39;53,75;48,84;56,59;55,34;71,20;59,44;62,57;72,57;64,10;69,56;59,18;69,14;60,63;64,13;55,10;61,23
"073 Hepatite B";91,29;74,94;72,97;81,64;71,09;80,76;90,36;67,82;67,84;77,12;68,49;75,29;76,21;73,23;77,89;69,59;86,70;95,90;75,63;80,97;89,93;90,03;75,56;84,91;73,58;75,54;88,80;78,46
"080 Penta";87,89;64,19;73,35;77,28;60,53;66,74;80,97;71,01;70,55;87,97;69,92;78,00;81,35;77,29;77,12;68,17;82,76;80,30;78,48;78,84;81,54;83,04;79,21;91,44;80,73;79,35;82,50;77,80
"012 Pneumocócica";89,21;64,09;71,17;78,81;60,49;67,15;85,21;67,77;73,16;87,94;74,98;81,05;85,53;76,26;83,50;71,12;90,02;88,46;75,51;85,33;86,97;90,87;81,51;93,78;80,86;83,06;84,25;81,04
"074 Poliomielite";96,58;88,50;83,79;90,74;88,23;88,13;97,95;84,77;88,01;102,88;85,90;92,41;103,95;85,34;96,36;86,84;94,87;101,12;98,38;96,95;95,33;95,31;91,46;99,66;96,64;92,72;95,00;94,18
"100 Poliomielite 4 anos";0,03;1,87;0,18;0,40;0,03;10,81;0,07;1,17;0,29;0,60;0,60;0,47;0,54;1,18;0,11;0,10;0,12;0,35;0,16;0,65;0,14;0,25;0,62;0,47;0,75;0,21;0,12;0,43
"006 Febre Amarela";92,06;76,83;80,30;83,87;75,05;78,79;87,75;79,41;62,39;2,34;0,81;0,43;2,04;0,47;0,78;65,43;74,59;17,08;4,53;15,52;37,61;15,80;21,11;90,35;80,83;81,40;27,36;37,72
"096 Hepatite A";69,82;47,95;61,01;66,25;47,04;57,51;64,37;53,78;57,55;71,61;54,19;59,96;64,29;65,36;62,73;57,83;69,60;68,40;63,51;64,42;69,09;71,14;65,42;72,61;65,76;65,29;71,56;63,73
"091 Pneumocócica(1º ref)";86,41;58,36;74,57;78,17;61,69;65,53;81,00;69,72;75,72;94,31;75,05;76,69;83,67;81,51;83,67;72,84;87,25;86,20;76,83;82,52;86,95;87,30;79,67;94,56;79,73;79,94;86,21;80,51
"092 Meningococo C (1º ref)";88,72;61,40;77,86;81,25;64,88;68,95;83,67;72,30;78,23;95,14;76,64;76,67;86,92;80,06;85,11;77,15;90,03;86,69;78,03;84,28;88,83;90,70;82,15;95,98;84,55;83,22;89,98;82,82
"093 Poliomielite(1º ref)";80,30;61,16;71,68;80,99;57,58;52,12;76,42;68,03;66,88;88,94;69,89;74,89;79,25;77,92;77,56;69,47;83,61;79,20;70,18;79,84;77,89;81,37;75,56;91,55;77,47;76,20;81,38;76,27
"021 Tríplice Viral  D1";102,28;89,16;86,94;90,17;94,87;91,26;89,86;101,85;98,93;113,07;94,30;105,28;99,33;93,51;105,59;103,98;106,24;105,91;103,32;104,99;102,98;103,52;94,72;107,70;102,18;105,01;96,92;102,30
"098 Tríplice Viral  D2";83,98;54,17;69,89;75,17;51,81;66,67;74,57;57,88;63,70;85,99;63,00;65,20;72,02;68,51;72,55;65,76;79,82;78,76;70,80;80,31;82,21;81,46;76,96;79,97;75,76;74,27;89,83;74,23
"097 Tetra Viral(SRC+VZ)";73,95;48,82;62,40;70,88;45,06;60,47;62,97;39,62;32,63;57,05;41,38;39,01;46,93;45,54;42,60;41,28;43,54;46,91;46,66;56,33;69,88;71,83;64,68;71,36;67,21;62,76;78,40;53,27
"075 DTP";90,75;70,37;73,76;83,04;78,37;81,12;87,78;76,33;82,51;92,50;81,29;84,87;87,70;76,14;88,85;80,10;87,56;90,78;86,70;89,96;89,88;88,98;85,35;91,80;86,28;86,12;86,83;85,86
"102 DTP REF (4 e 6 anos)";3,84;4,94;4,17;5,31;3,29;4,82;2,46;4,33;2,84;2,62;4,72;3,11;4,07;4,74;2,78;3,64;2,57;2,96;4,48;2,08;3,09;2,37;3,78;3,53;3,45;4,61;4,64;3,31
"095 Tríplice Bacteriana(DTP)(1º ref)";79,65;60,67;67,25;77,28;57,81;62,23;74,19;67,67;68,06;83,81;68,47;69,60;76,90;74,43;77,71;70,64;80,78;71,11;65,78;73,74;71,16;74,96;69,84;88,90;75,70;68,30;79,50;72,52
"018 Sarampo";86,23;69,04;72,68;89,77;80,50;82,14;88,22;78,69;76,86;98,09;79,94;77,32;94,92;69,27;90,73;77,27;81,78;91,54;86,78;98,54;91,36;89,04;84,64;85,49;85,87;83,93;5,74;85,97
"009 Haemophilus influenzae b";25,12;11,12;19,29;26,70;22,59;29,29;25,00;14,44;24,43;24,79;18,50;23,83;21,44;20,08;26,36;22,72;33,54;25,27;30,18;29,24;28,86;27,06;22,88;26,89;22,81;27,89;41,94;26,00
"094 Dupla adulto e tríplice acelular gestante";53,88;28,64;47,39;44,48;29,93;44,45;33,73;41,04;34,65;64,58;42,59;39,03;55,66;51,17;41,62;36,06;33,12;51,18;40,09;38,70;34,14;39,69;33,09;51,55;45,79;32,53;58,45;40,48
"003 dTpa gestante";39,87;20,42;40,24;41,19;20,42;31,16;31,95;31,94;26,38;46,78;30,08;30,01;42,56;37,61;28,14;27,96;32,54;46,17;38,41;32,58;35,60;36,24;28,67;39,81;34,55;35,59;41,23;33,97
"Total";83,29;67,15;72,01;78,16;68,07;73,10;79,23;70,80;70,29;76,02;64,55;68,03;72,18;64,74;71,15;70,43;80,00;76,04;69,51;74,61;77,13;76,72;70,25;84,68;78,13;77,49;75,33;73,56
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

