TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por UF de residência e Ano Diagnóstico
Período:2001-2020
"UF de residência";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"11 Rondônia";672;637;648;627;630;521;551;566;681;571;680;692;699;679;653;763;773;676;739;575;13033
"12 Acre";357;364;367;353;319;389;305;298;352;340;389;392;391;440;348;443;485;483;585;539;7939
"13 Amazonas";2330;2279;2369;2557;2485;2429;2454;2691;2617;2753;2685;2842;3066;3173;3420;3271;3683;3789;3944;3493;58330
"14 Roraima";144;172;198;215;147;138;132;148;139;139;164;131;166;143;172;158;209;266;325;289;3595
"15 Pará";3600;3882;4038;4146;4040;3831;3821;3842;4140;4161;4370;4093;4167;3985;4031;4254;4546;4721;5565;4461;83694
"16 Amapá";214;288;263;268;271;245;269;266;250;216;255;242;210;205;219;273;288;274;352;269;5137
"17 Tocantins";317;309;282;274;258;261;235;209;236;209;222;208;205;186;186;212;190;235;249;205;4688
"21 Maranhão";3088;3204;3164;3180;3381;3056;2978;2628;2588;2518;2585;2280;2360;2168;2281;2492;2507;2688;2704;2366;54216
"22 Piauí";1379;1351;1251;1349;1349;1137;1152;1046;969;883;912;833;820;755;704;761;755;841;833;722;19802
"23 Ceará";4253;4392;4586;4473;4658;4141;4170;4477;4667;4316;4402;4233;4055;3877;4012;4044;4290;4555;4542;3695;85838
"24 Rio Grande do Norte";1160;1179;1352;1373;1356;1162;1112;1212;1187;1111;1268;1208;1274;1187;1158;1182;1351;1625;1421;1503;25381
"25 Paraíba";1364;1386;1457;1494;1479;1124;1182;1325;1316;1322;1401;1427;1423;1306;1250;1220;1366;1550;1487;1267;27146
"26 Pernambuco";4560;4875;5167;5466;5330;4901;4840;4993;5031;5185;5402;5702;5426;5448;5655;5524;6371;6484;6788;6068;109216
"27 Alagoas";1341;1359;1427;1428;1509;1362;1384;1410;1452;1370;1326;1363;1333;1248;1075;1238;1271;1346;1296;927;26465
"28 Sergipe";554;592;650;626;827;692;580;687;669;619;658;610;701;785;763;792;834;980;1021;793;14433
"29 Bahia";7973;7904;8482;8266;7986;7202;6775;6715;7006;6554;6459;6099;5696;5628;5317;5303;5497;5663;5651;4449;130625
"31 Minas Gerais";1374;5902;5999;6105;5942;5386;5348;5195;4857;4445;4624;4267;4207;4189;4053;4071;4048;4205;4342;3873;92432
"32 Espírito Santo";1632;1569;1559;1529;1439;1350;1426;1528;1427;1466;1437;1449;1381;1312;1389;1240;1325;1480;1490;1725;29153
"33 Rio de Janeiro";16968;16781;16125;15832;15324;14195;14199;14676;14384;14250;14335;14018;13347;13106;13369;13647;13930;14825;14967;13080;291358
"35 São Paulo";19139;19046;18389;17601;17539;18054;17618;18430;17807;18178;19045;18641;19481;19995;20334;20536;22064;22214;21899;19015;385025
"41 Paraná";3204;3410;3425;3251;3395;2818;3047;2970;2787;2760;2711;2522;2648;2546;2469;2437;2496;2848;2866;2803;57413
"42 Santa Catarina";1702;1875;1906;1880;1846;1827;1873;2026;2002;2074;2219;2232;2269;2248;2178;2197;2230;2287;2279;1517;40667
"43 Rio Grande do Sul";5231;5508;5790;5902;5660;5151;5494;5688;6105;6172;6361;6404;6346;6368;6378;6039;6594;6903;7636;6322;122052
"50 Mato Grosso do Sul";978;910;1007;1024;1039;881;948;1008;1042;937;1045;1090;1096;995;1005;1130;1140;1455;1407;1174;21311
"51 Mato Grosso";1458;1278;1289;1177;1344;1333;1179;1288;1161;1369;1371;1580;1889;1779;1447;1460;1422;1405;1513;1176;27918
"52 Goiás";1220;1205;1277;1142;1156;1015;1032;996;1047;1060;1053;1118;1124;1039;1135;1072;1210;1263;1235;986;22385
"53 Distrito Federal";383;384;418;395;414;399;445;382;335;333;364;438;366;422;396;386;361;419;424;345;7809
"00 Ignorado/exterior";670;818;888;1046;932;31;51;68;64;70;70;69;62;1;55;62;65;59;69;41;5191
