,BCG,Hepatite B  em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Poliomielite 4 anos,Febre Amarela,Hepatite A,Pneumocócica(1º ref),Meningococo C (1º ref),Poliomielite(1º ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,DTP REF (4 e 6 anos),Tríplice Bacteriana(DTP)(1º ref),Sarampo,Haemophilus influenzae b,Dupla adulto e tríplice acelular gestante,dTpa gestante
RO,105.11,77.44,61.92,60.8,91.29,87.89,89.21,96.58,0.03,92.06,69.82,86.41,88.72,80.3,102.28,83.98,73.95,90.75,3.84,79.65,86.23,25.12,53.88,39.87
AC,105.54,60.09,49.5,50.59,74.94,64.19,64.09,88.5,1.87,76.83,47.95,58.36,61.4,61.16,89.16,54.17,48.82,70.37,4.94,60.67,69.04,11.12,28.64,20.42
AM,107.99,74.39,49.73,55.81,72.97,73.35,71.17,83.79,0.18,80.3,61.01,74.57,77.86,71.68,86.94,69.89,62.4,73.76,4.17,67.25,72.68,19.29,47.39,40.24
RR,113.28,79.26,56.47,61.78,81.64,77.28,78.81,90.74,0.4,83.87,66.25,78.17,81.25,80.99,90.17,75.17,70.88,83.04,5.31,77.28,89.77,26.7,44.48,41.19
PA,110.41,60.2,46.96,45.99,71.09,60.53,60.49,88.23,0.03,75.05,47.04,61.69,64.88,57.58,94.87,51.81,45.06,78.37,3.29,57.81,80.5,22.59,29.93,20.42
AP,114.84,73.2,52.98,60.55,80.76,66.74,67.15,88.13,10.81,78.79,57.51,65.53,68.95,52.12,91.26,66.67,60.47,81.12,4.82,62.23,82.14,29.29,44.45,31.16
TO,105.64,73.44,59.49,54.69,90.36,80.97,85.21,97.95,0.07,87.75,64.37,81.0,83.67,76.42,89.86,74.57,62.97,87.78,2.46,74.19,88.22,25.0,33.73,31.95
MA,113.24,68.56,51.27,47.92,67.82,71.01,67.77,84.77,1.17,79.41,53.78,69.72,72.3,68.03,101.85,57.88,39.62,76.33,4.33,67.67,78.69,14.44,41.04,31.94
PI,102.4,66.79,54.52,52.2,67.84,70.55,73.16,88.01,0.29,62.39,57.55,75.72,78.23,66.88,98.93,63.7,32.63,82.51,2.84,68.06,76.86,24.43,34.65,26.38
CE,110.81,74.72,62.18,60.29,77.12,87.97,87.94,102.88,0.6,2.34,71.61,94.31,95.14,88.94,113.07,85.99,57.05,92.5,2.62,83.81,98.09,24.79,64.58,46.78
RN,103.03,65.29,52.56,53.29,68.49,69.92,74.98,85.9,0.6,0.81,54.19,75.05,76.64,69.89,94.3,63.0,41.38,81.29,4.72,68.47,79.94,18.5,42.59,30.08
