,Ano,UF,Cobertura vacinal
0,2000,Pará,10.14
1,2001,Pará,47.94
2,2002,Pará,120.34
3,2003,Pará,124.98
4,2004,Pará,143.1
5,2005,Pará,116.35
6,2006,Pará,113.05
7,2007,Pará,118.49
8,2008,Pará,111.83
9,2009,Pará,117.62
10,2010,Pará,110.95
11,2011,Pará,109.25
12,2012,Pará,102.2
13,2013,Pará,98.49
14,2014,Pará,115.73
15,2015,Pará,71.92
16,2016,Pará,69.61
17,2017,Pará,67.51
18,2018,Pará,77.3
19,2019,Pará,82.81
20,2020,Pará,61.6
21,2000,Rio de Janeiro,89.41
22,2001,Rio de Janeiro,90.78
23,2002,Rio de Janeiro,96.23
24,2003,Rio de Janeiro,114.46
25,2004,Rio de Janeiro,105.97
26,2005,Rio de Janeiro,107.75
27,2006,Rio de Janeiro,102.12
28,2007,Rio de Janeiro,100.54
29,2008,Rio de Janeiro,95.46
30,2009,Rio de Janeiro,96.69
31,2010,Rio de Janeiro,94.98
32,2011,Rio de Janeiro,107.16
33,2012,Rio de Janeiro,97.18
34,2013,Rio de Janeiro,108.16
35,2014,Rio de Janeiro,112.48
36,2015,Rio de Janeiro,105.42
37,2016,Rio de Janeiro,109.26
38,2017,Rio de Janeiro,94.29
39,2018,Rio de Janeiro,99.66
40,2019,Rio de Janeiro,96.58
41,2020,Rio de Janeiro,59.65
42,2000,São Paulo,105.38
43,2001,São Paulo,105.13
44,2002,São Paulo,105.13
45,2003,São Paulo,119.88
46,2004,São Paulo,104.3
47,2005,São Paulo,102.04
48,2006,São Paulo,101.19
49,2007,São Paulo,100.23
50,2008,São Paulo,96.68
51,2009,São Paulo,99.13
52,2010,São Paulo,94.91
53,2011,São Paulo,100.34
54,2012,São Paulo,99.54
55,2013,São Paulo,103.37
56,2014,São Paulo,105.02
57,2015,São Paulo,97.91
58,2016,São Paulo,92.96
59,2017,São Paulo,86.72
60,2018,São Paulo,91.46
61,2019,São Paulo,91.8
62,2020,São Paulo,85.21
63,2000,Paraná,91.12
64,2001,Paraná,101.36
65,2002,Paraná,101.72
66,2003,Paraná,107.13
67,2004,Paraná,93.89
68,2005,Paraná,99.78
69,2006,Paraná,101.21
70,2007,Paraná,103.17
71,2008,Paraná,94.48
72,2009,Paraná,100.19
73,2010,Paraná,95.64
74,2011,Paraná,98.59
75,2012,Paraná,99.94
76,2013,Paraná,110.21
77,2014,Paraná,113.35
78,2015,Paraná,99.44
79,2016,Paraná,91.87
80,2017,Paraná,88.13
81,2018,Paraná,89.78
82,2019,Paraná,91.99
83,2020,Paraná,85.02
84,2000,Santa Catarina,95.57
85,2001,Santa Catarina,101.09
86,2002,Santa Catarina,91.38
87,2003,Santa Catarina,115.37
88,2004,Santa Catarina,97.79
89,2005,Santa Catarina,101.01
90,2006,Santa Catarina,100.38
91,2007,Santa Catarina,102.4
92,2008,Santa Catarina,96.43
93,2009,Santa Catarina,103.11
94,2010,Santa Catarina,101.3
95,2011,Santa Catarina,99.79
96,2012,Santa Catarina,100.35
97,2013,Santa Catarina,104.61
98,2014,Santa Catarina,112.2
99,2015,Santa Catarina,103.42
100,2016,Santa Catarina,98.97
101,2017,Santa Catarina,91.81
102,2018,Santa Catarina,92.12
103,2019,Santa Catarina,95.82
104,2020,Santa Catarina,86.34
