,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
1994,42.76,20.53,20.15,64.06,32.44,N/A,N/A,27.43,62.22,49.2,41.34,N/A,33.46,N/A,N/A,42.98,N/A,55.22,N/A,N/A,N/A,51.6,N/A,N/A,31.76,22.37,N/A
1995,50.8,46.61,35.82,88.84,40.11,34.68,N/A,35.69,48.16,50.06,49.23,22.82,78.01,28.35,67.66,28.19,N/A,74.91,43.29,45.01,35.3,55.47,65.25,N/A,37.67,69.81,0.34
1996,76.05,36.59,49.88,89.18,51.26,44.75,65.44,41.05,46.4,60.28,56.57,45.23,72.86,46.58,67.28,38.02,N/A,75.62,36.26,44.86,51.84,48.53,58.9,39.02,37.44,66.93,55.99
1997,83.33,67.56,72.01,80.26,67.09,52.06,56.24,60.33,57.65,74.0,61.55,63.28,82.44,50.95,73.92,59.22,62.6,77.78,69.12,74.7,76.53,73.29,65.07,70.62,74.22,70.07,64.17
1998,93.26,66.38,70.62,97.45,67.46,73.77,86.73,68.09,64.59,64.09,58.99,61.39,81.41,54.52,71.66,64.03,62.43,89.21,73.78,79.73,63.4,71.64,63.25,75.01,78.08,73.23,84.43
1999,82.31,85.61,72.19,93.76,82.95,83.48,87.82,81.1,81.53,88.63,78.8,81.68,87.47,78.3,98.68,82.45,90.14,94.67,91.77,92.11,75.09,82.85,85.9,92.05,84.87,87.36,86.24
2000,79.59,66.79,70.91,83.94,77.23,70.61,80.63,74.81,78.74,78.82,70.21,72.88,76.93,72.36,77.96,74.08,79.7,79.36,75.16,76.19,78.72,75.49,71.91,85.08,84.34,82.76,73.49
2001,83.7,76.77,70.68,72.67,83.43,101.5,87.42,79.09,81.18,83.18,73.12,80.28,76.73,74.45,79.01,81.56,90.28,80.75,75.02,76.51,81.01,78.11,75.6,88.66,85.97,83.87,71.77
2002,78.18,81.66,70.98,78.33,82.66,75.61,80.88,76.93,79.67,78.97,73.2,76.52,77.76,76.03,78.28,76.22,75.07,78.05,74.66,73.3,77.26,74.59,74.07,80.84,81.93,82.66,69.15
2003,72.3,77.54,64.77,72.99,80.5,76.13,75.39,75.58,74.41,73.21,71.76,71.43,77.22,71.21,76.06,72.9,69.4,77.65,71.5,71.29,73.48,73.68,71.71,77.14,77.24,79.45,70.1
