,Ano,UF,Casos de Tuberculose
0,2001,Rondônia,672
1,2002,Rondônia,637
2,2003,Rondônia,648
3,2004,Rondônia,627
4,2005,Rondônia,630
5,2006,Rondônia,521
6,2007,Rondônia,551
7,2008,Rondônia,566
8,2009,Rondônia,681
9,2010,Rondônia,571
10,2011,Rondônia,680
11,2012,Rondônia,692
12,2013,Rondônia,699
13,2014,Rondônia,679
14,2015,Rondônia,653
15,2016,Rondônia,763
16,2017,Rondônia,773
17,2018,Rondônia,676
18,2019,Rondônia,739
19,2020,Rondônia,575
20,2001,Acre,357
21,2002,Acre,364
22,2003,Acre,367
23,2004,Acre,353
24,2005,Acre,319
25,2006,Acre,389
26,2007,Acre,305
27,2008,Acre,298
28,2009,Acre,352
29,2010,Acre,340
30,2011,Acre,389
31,2012,Acre,392
32,2013,Acre,391
33,2014,Acre,440
34,2015,Acre,348
35,2016,Acre,443
36,2017,Acre,485
37,2018,Acre,483
38,2019,Acre,585
39,2020,Acre,539
40,2001,Amazonas,2330
41,2002,Amazonas,2279
42,2003,Amazonas,2369
43,2004,Amazonas,2557
44,2005,Amazonas,2485
45,2006,Amazonas,2429
46,2007,Amazonas,2454
47,2008,Amazonas,2691
48,2009,Amazonas,2617
49,2010,Amazonas,2753
50,2011,Amazonas,2685
51,2012,Amazonas,2842
52,2013,Amazonas,3066
53,2014,Amazonas,3173
54,2015,Amazonas,3420
55,2016,Amazonas,3271
56,2017,Amazonas,3683
57,2018,Amazonas,3789
58,2019,Amazonas,3944
59,2020,Amazonas,3493
60,2001,Roraima,144
61,2002,Roraima,172
62,2003,Roraima,198
63,2004,Roraima,215
64,2005,Roraima,147
65,2006,Roraima,138
66,2007,Roraima,132
67,2008,Roraima,148
68,2009,Roraima,139
69,2010,Roraima,139
70,2011,Roraima,164
71,2012,Roraima,131
72,2013,Roraima,166
73,2014,Roraima,143
74,2015,Roraima,172
75,2016,Roraima,158
76,2017,Roraima,209
77,2018,Roraima,266
78,2019,Roraima,325
79,2020,Roraima,289
80,2001,Pará,3600
81,2002,Pará,3882
82,2003,Pará,4038
83,2004,Pará,4146
84,2005,Pará,4040
85,2006,Pará,3831
86,2007,Pará,3821
87,2008,Pará,3842
88,2009,Pará,4140
89,2010,Pará,4161
90,2011,Pará,4370
91,2012,Pará,4093
92,2013,Pará,4167
93,2014,Pará,3985
94,2015,Pará,4031
95,2016,Pará,4254
96,2017,Pará,4546
97,2018,Pará,4721
98,2019,Pará,5565
99,2020,Pará,4461
100,2001,Amapá,214
101,2002,Amapá,288
102,2003,Amapá,263
103,2004,Amapá,268
104,2005,Amapá,271
105,2006,Amapá,245
106,2007,Amapá,269
107,2008,Amapá,266
108,2009,Amapá,250
109,2010,Amapá,216
110,2011,Amapá,255
111,2012,Amapá,242
112,2013,Amapá,210
113,2014,Amapá,205
114,2015,Amapá,219
115,2016,Amapá,273
116,2017,Amapá,288
117,2018,Amapá,274
118,2019,Amapá,352
119,2020,Amapá,269
120,2001,Tocantins,317
121,2002,Tocantins,309
122,2003,Tocantins,282
123,2004,Tocantins,274
124,2005,Tocantins,258
125,2006,Tocantins,261
126,2007,Tocantins,235
127,2008,Tocantins,209
128,2009,Tocantins,236
129,2010,Tocantins,209
130,2011,Tocantins,222
131,2012,Tocantins,208
132,2013,Tocantins,205
133,2014,Tocantins,186
134,2015,Tocantins,186
135,2016,Tocantins,212
136,2017,Tocantins,190
137,2018,Tocantins,235
138,2019,Tocantins,249
139,2020,Tocantins,205
140,2001,Maranhão,3088
141,2002,Maranhão,3204
142,2003,Maranhão,3164
143,2004,Maranhão,3180
144,2005,Maranhão,3381
145,2006,Maranhão,3056
146,2007,Maranhão,2978
147,2008,Maranhão,2628
148,2009,Maranhão,2588
149,2010,Maranhão,2518
150,2011,Maranhão,2585
151,2012,Maranhão,2280
152,2013,Maranhão,2360
153,2014,Maranhão,2168
154,2015,Maranhão,2281
155,2016,Maranhão,2492
156,2017,Maranhão,2507
157,2018,Maranhão,2688
158,2019,Maranhão,2704
159,2020,Maranhão,2366
160,2001,Piauí,1379
161,2002,Piauí,1351
162,2003,Piauí,1251
163,2004,Piauí,1349
164,2005,Piauí,1349
165,2006,Piauí,1137
166,2007,Piauí,1152
167,2008,Piauí,1046
168,2009,Piauí,969
169,2010,Piauí,883
170,2011,Piauí,912
171,2012,Piauí,833
172,2013,Piauí,820
173,2014,Piauí,755
174,2015,Piauí,704
175,2016,Piauí,761
176,2017,Piauí,755
177,2018,Piauí,841
178,2019,Piauí,833
179,2020,Piauí,722
180,2001,Ceará,4253
181,2002,Ceará,4392
182,2003,Ceará,4586
183,2004,Ceará,4473
184,2005,Ceará,4658
185,2006,Ceará,4141
186,2007,Ceará,4170
187,2008,Ceará,4477
188,2009,Ceará,4667
189,2010,Ceará,4316
190,2011,Ceará,4402
191,2012,Ceará,4233
192,2013,Ceará,4055
193,2014,Ceará,3877
194,2015,Ceará,4012
195,2016,Ceará,4044
196,2017,Ceará,4290
197,2018,Ceará,4555
198,2019,Ceará,4542
199,2020,Ceará,3695
200,2001,Rio Grande do Norte,1160
201,2002,Rio Grande do Norte,1179
202,2003,Rio Grande do Norte,1352
203,2004,Rio Grande do Norte,1373
204,2005,Rio Grande do Norte,1356
205,2006,Rio Grande do Norte,1162
206,2007,Rio Grande do Norte,1112
